row_num,faci_stat_nm,ftype_nm,cp_nm,cpb_nm,addr_emd_nm,faci_nm,faci_road_addr,faci_addr,faci_lat,faci_lot
6480,정상운영,축구장,전라남도,장흥군,,장흥댐축구전용구장,부산면 지천리 133-1,,0,0
6481,정상운영,축구장,경상북도,포항시,일월동,청림운동장,경상북도 포항시 남구 부추길 35-1 (일월동),경상북도 포항시 남구 일월동  707,0,0
6482,정상운영,축구장,강원도,홍천군,월천리,남면공설운동장,강원도 홍천군 남면 양덕원로 221,,0,0
6483,정상운영,축구장,경기도,양평군,,지평레포츠공원축구장,지제면 송현리 500번지,경기 양평군 지평면 송현리 500,0,0
6484,정상운영,축구장,경상남도,창원시,명서동,명서2주민운동장축구장,경상남도 창원시 의창구 우곡로 21 (명서동),,0,0
6485,정상운영,축구장,전라남도,화순군,다지리,다지리구장,전라남도 화순군 화순읍 지실길 12-5,,0,0
6486,정상운영,축구장,전라남도,목포시,대양동,목포국제축구센터인조잔디구장1,전라남도 목포시 내화마을길 89 (대양동),전라남도 목포시 대양동 950-4 목포국제축구센터,0,0
6487,정상운영,축구장,전라남도,영암군,,소등축구장,,,0,0
6488,정상운영,축구장,전라남도,고흥군,용정리,도양김태영축구장,전라남도 고흥군 도양읍 우주항공로 229,전라남도 고흥군 도양읍 용정리 1168-31 체육시설,0,0
6489,정상운영,축구장,제주특별자치도,서귀포시,,표선생활체육인조잔디구장,,,0,0
6490,정상운영,축구장,경기도,양주시,,청소년수련관축구장,양주시 평화로1475번길 623,경기 양주시 평화로1475번길 623,0,0
6491,정상운영,축구장,경상남도,합천군,,율곡영전수변공원축구장,,경남 합천군 율곡면 영전리 786-1,0,0
6492,정상운영,축구장,대전광역시,,,사정축구장,대전광역시 중구 사정공원로 160 (사정동),대전광역시 중구 사정동 산1-31 사정공원,0,0
6493,정상운영,축구장,경상남도,밀양시,,무안축구장,,,0,0
6494,정상운영,축구장,전라남도,순천시,조곡동,조곡생활체육공원 축구장,전라남도 순천시 자경1길 6 (조곡동),,0,0
6495,정상운영,축구장,경상북도,포항시,일월동,동해면민운동장,경상북도 포항시 남구 동해안로5838번길 60 (일월동),경상북도 포항시 남구 일월동  731-6,0,0
6496,정상운영,축구장,부산광역시,,용호동,남부환경공원축구장,부산광역시 남구 이기대공원로 11 (용호동),,0,0
6497,정상운영,축구장,대구광역시,달성군,남리,달성군민운동장,대구광역시 달성군 논공읍 논공로 256,,0,0
6498,정상운영,축구장,부산광역시,,,강변환경공원축구장,,신평동 659-2,0,0
6499,정상운영,축구장,부산광역시,금정구,,부산교통공사노포차량기지축구장,부산시 금정구 중앙대로 2238 (노포동 133 노포차량사업소),부산 금정구 중앙대로 2238,0,0
6500,정상운영,축구장,강원도,평창군,,평창국민체육센터(인조잔디구장),평창읍 종부로 69-27,강원 평창군 평창읍 종부로 69-27,0,0
6501,정상운영,축구장,인천광역시,옹진군,내리,영흥면종합운동장,인천광역시 옹진군 영흥면 영흥로348번길 175-29,,0,0
6502,정상운영,축구장,경상남도,하동군,병천리,옥종다목적생활공원,경상남도 하동군 옥종면 옥종중앙길 132,,0,0
6503,정상운영,축구장,강원도,고성군,상리,간성보조구장,강원도 고성군 간성읍 수성로 87,강원도 고성군 간성읍 상리 500,0,0
6504,정상운영,축구장,경기도,이천시,,모가면체육공원축구장,이천시 모가면 소고리 624-1외,,0,0
6505,정상운영,축구장,경기도,성남시,,성남종합운동장보조경기장인조잔디구장,중원구 제일로 60,경기 성남시 중원구 제일로 60,0,0
6506,정상운영,축구장,경기도,화성시,,동학산공원축구장,석우동 29-3,경기 화성시 석우동 29-3,0,0
6507,정상운영,축구장,충청북도,단양군,평동리,매포생활체육공원축구장,충청북도 단양군 매포읍 평동4로 91,,0,0
6508,정상운영,축구장,경상남도,합천군,김봉리,봉산체육공원잔디축구장,경상남도 합천군 봉산면 서부로 4344-7,경상남도 합천군 봉산면 김봉리 1,0,0
6509,정상운영,축구장,경기도,남양주시,오남리,오남체육공원축구장,경기도 남양주시 오남읍 양지로 156-19,경기도 남양주시 오남읍 오남리 791-5,0,0
6510,정상운영,축구장,인천광역시,서구,연희동,서곶근린공원 축구장,인천광역시 서구 서곶로314번길 18 (연희동),,0,0
6511,정상운영,축구장,경기도,안산시,,시낭운동장,부곡동 719-1,부곡동 719-1,0,0
6512,정상운영,축구장,경상남도,함안군,,칠원면공설운동장,,,0,0
6513,정상운영,축구장,전라북도,고창군,하련리,해리풋살장,,전북 고창군 해리면 하련리 262,0,0
6514,정상운영,축구장,경상남도,함안군,,함안공설운동장,가야읍 도항리 249-1,경남 함안군 가야읍 도항리 249-1,0,0
