row_num,faci_stat_nm,faci_lat,ftype_nm,cpb_nm,addr_emd_nm,faci_lot,cp_nm,faci_nm,faci_road_addr,faci_addr
182,정상운영,,태권도,고양시,행신동,,경기도,경희대 도복소리 태권도장,"경기도 고양시 덕양구 충장로152번길 59 (행신동, 능곡중앙교육센타)",경기도 고양시 덕양구 행신동 936 신한은행4층 
183,폐업,37.15004075,태권도,오산시,오산동,127.0743015,경기도,점프업 줄넘기 센터,"경기도 오산시 운천로 81, 상진프라자 2층 (오산동)",경기도 오산시 오산동 910-3 상진프라자 
184,정상운영,35.0830254,태권도,강서구,명지동,128.9039269,부산광역시,특사체육관,부산광역시 강서구 명지오션시티4로 67 (명지동),부산광역시 강서구 명지동 3239-4 강서타워빌딩
185,정상운영,37.7338782,태권도,파주시,다율동,126.7299861,경기도,효 태권도,경기도 파주시 해올1길 7(다율동),경기도 파주시 다율동 1041-12
186,정상운영,,태권도,강서구,명지동,,부산광역시,포스코성신태권도,"부산광역시 강서구 명지국제1로 56-1, 플러스타워제1동 1104호 (명지동)",부산광역시 강서구 명지동 3598-2 플러스타워 
187,정상운영,37.27343446,태권도,수원시,고등동,127.0018498,경기도,용인대 홍익태권도,경기도 수원시 팔달구 팔달로 53 (고등동),경기도 수원시 팔달구 고등동 0
188,정상운영,,태권도,포항시,원리,,경상북도,위플레이 태권사랑 아카데미 태권도장,"경상북도 포항시 남구 오천읍 남원로 86-22, 3층",경상북도 포항시 남구 오천읍 원리 1079-2 3층 
189,정상운영,37.34502713,태권도,군포시,산본동,126.9252556,경기도,경희대 올림픽 태권도장,경기도 군포시 번영로 330 (산본동),경기도 군포시 산본동 1156-25 한라2차아파트 종합상가
190,정상운영,37.32784175,태권도,용인시,신봉동,127.0734756,경기도,한국체대 신일태권도장,경기도 용인시 수지구 신봉2로 71 (신봉동),경기도 용인시 수지구 신봉동 144 태천빌딩
191,정상운영,,태권도,서구,신현동,,인천광역시,나라찬 태권도장,"인천광역시 서구 가정로335번길 16 (신현동,4층)",인천광역시 서구 신현동 286-5 4층 
192,정상운영,35.41481779,태권도,남원시,,127.3954184,전라북도,경희대한국태권도,큰들길7-1(도통동),전북 남원시 큰들길 7-1
193,폐업,35.15667875,태권도,서구,내방동,126.8740565,광주광역시,참교육태권도,광주광역시 서구 내방로306번길 9 (내방동),광주광역시 서구 내방동 578-11
194,정상운영,37.48135672,태권도,서구,풍암동,126.9422728,광주광역시,아이사랑 태권도,"광주광역시 서구 풍암1로 42, 201~202호 (풍암동, 풍암부영2차아파트신암마을)",광주광역시 서구 풍암동 1099 풍암부영2차아파트신암마을 
195,정상운영,0,태권도,성남시,,0,경기도,JK파워점핑,경기도 성남시 분당구 판교대장로6길 20 (대장동),경기도 성남시 분당구 대장동 627-1
196,정상운영,37.40513159,태권도,성남시,,127.1217386,경기도,한국체대명성태권도장,,경기도 성남시 분당구 판교로 432
197,정상운영,35.14592617,태권도,부산진구,,129.0566722,부산광역시,동양체육관,부산광역시 부산진구 신암로 32 (범천동),부산 부산진구 신암로 32
198,정상운영,,태권도,의정부시,,,경기도,한라태권도장,"경기도 의정부시 추동로 43, 극동,동성아파트 상가동 201호 (신곡동)","경기도 의정부시 신곡동 669 극동,동성아파트 상가동 201호"
199,폐업,36.30484538,태권도,서구,,127.3665377,대전광역시,코리아태권도장,"대전광역시 서구 정림동로7번길 6, 2층 (정림동)",대전 서구 정림동로7번길 6
200,정상운영,37.44118201,태권도,성남시,,127.1617135,경기도,수석태권도장,경기도 성남시 중원구 희망로400번길 16 (금광동),경기 성남시 중원구 희망로400번길 16
201,정상운영,37.43683476,태권도,성남시,,127.142712,경기도,한국태권도장,"경기도 성남시 중원구 광명로 130, 2층 (성남동, 파레스빌딩)",경기 성남시 중원구 광명로 130
202,정상운영,35.12803803,태권도,사상구,,128.9728962,부산광역시,승학2체육관,"부산광역시 사상구 엄궁로191번길 41 (엄궁동,3층)",부산 사상구 엄궁로191번길 41
203,정상운영,,태권도,거제시,지세포리,,경상남도,나라찬태권도장,"경상남도 거제시 일운면 지세포해안로 50, 2층",경상남도 거제시 일운면 지세포리 816 
204,정상운영,37.24097558,태권도,수원시,,127.0486345,경기도,신화태권도장,"경기도 수원시 영통구 동탄지성로 550-20, 영통플래티넘베이스 2층 (망포동)",경기도 수원시 영통구 망포동 47-17 
205,정상운영,37.26182208,태권도,수원시,,127.0414134,경기도,한국체대신동태권도,"경기도 수원시 영통구 효원로 363 (매탄동, 매탄 위브 하늘채)",경기도 수원시 영통구 매탄동 1352 매탄 위브 하늘채
206,정상운영,37.23805869,태권도,수원시,,127.060595,경기도,코리아블랙밸트센터태권도장,경기도 수원시  영통구 망포동 485-14번지 ,경기도 수원시  영통구 망포동 485-14번지 
207,정상운영,,태권도,수원시,,,경기도,용인대 태권업 태권도장,경기도 수원시 영통구 인계로189번길 119-1 (매탄동),경기도 수원시 영통구 매탄동 176-3 
208,정상운영,,태권도,강북구,,,서울특별시,국기체육관,"서울특별시 강북구 삼양로27길 38, 2층 (미아동)",서울특별시 강북구 미아동 698-3 
209,폐업,37.5418392,태권도,강동구,,127.1418121,서울특별시,라틴댄스트레이닝태권도,"서울특별시 강동구 양재대로 1526(길동,2층)",
210,폐업,34.40659054,태권도,해남군,남창리,126.6269713,전라남도,현무태권도장,전라남도 해남군 북평면 달량진길 28-1,전라남도 해남군 북평면 남창리 387-10 북평대호체육관
211,정상운영,37.57966173,태권도,계양구,오류동,126.7326662,인천광역시,참 태권도장,인천광역시 계양구 황어로115번길 10 (오류동),
212,정상운영,,태권도,하동군,청룡리,,경상남도,옥종태권도체육관,"경상남도 하동군 옥종면 옥종중앙길 44, 주포마을회관 1층",경상남도 하동군 옥종면 청룡리 216-7 주포마을회관 
213,정상운영,37.29460647,태권도,용인시,청덕동,127.1517651,경기도,MTA 다한 태권도장,경기도 용인시 기흥구 구성3로28번길 12(청덕동),경기도 용인시 기흥구 청덕동 502-9 한양프라자
