row_num,faci_stat_nm,ftype_nm,cpb_nm,addr_emd_nm,cp_nm,faci_nm,faci_road_addr,faci_addr
174,정상운영,축구장,양산시,삼호동,경상남도,(축구장-03) 서창운동장,경상남도 양산시 대운9길 16-85(삼호동),경상남도 양산시 삼호동 산34
175,정상운영,축구장,양산시,소주동,경상남도,(축구장-05) 웅상생활체육공원,경상남도 양산시 소주공단5길 79-55 (소주동),경상남도 양산시 소주동 1112-28 웅상생활체육공원
176,정상운영,축구장,양산시,덕계동,경상남도,(축구장-09) 덕계체육공원,경남 양산시 덕계동 산 39-2,경남 양산시 덕계동 산 39-2
177,정상운영,축구장,양산시,가촌리,경상남도,(축구장-08) 물금체육공원,경상남도 양산시 물금읍 백호로 23,경상남도 양산시 물금읍 가촌리 1312-4
178,정상운영,축구장,양산시,여락리,경상남도,(축구장-12) 동면상동체육공원,경상남도 양산시 동면 여락송정로 100,경상남도 양산시 동면 여락리 299 상동체육공원
179,정상운영,축구장,양산시,금산리,경상남도,(축구장-07) 수질정화공원 제2구장,경상남도 양산시 동면 강변로 54,경상남도 양산시 동면 금산리 1216-27
180,정상운영,축구장,양산시,금산리,경상남도,(축구장-06) 수질정화공원 제1구장,경상남도 양산시 동면 강변로 54,경상남도 양산시 동면 금산리 1216-27
181,정상운영,축구장,양산시,가산리,경상남도,(축구장-14) 가산수변공원,경남 양산시 동면 가산리 814,경남 양산시 동면 가산리 814
182,정상운영,축구장,양산시,용당리,경상남도,(축구장-15) 가야진사공원,경남 양산시 원동면 용당리 490,경남 양산시 원동면 용당리 490
183,정상운영,축구장,양산시,석계리,경상남도,(축구장-10) 천성산체육공원,경상남도 양산시 상북면 봉수대길 29-10,경상남도 양산시 상북면 석계리 1166
184,정상운영,축구장,경산시,상방동,경상북도,경산생활체육공원족구장,경상북도 경산시 남매로 100 (상방동),경상북도 경산시 상방동 10 경산생활체육공원
185,정상운영,축구,구로구,,서울특별시,구로주니어 풋볼 클럽,서울특별시 구로구 경서로 12(고척동),서울특별시 구로구 고척동 94-7 대상빌딩
186,정상운영,축구,하남시,,경기도,송종국축구교실 하남2호점,경기도 하남시 미사강변대로34번안길 19 (풍산동),경기도 하남시 풍산동 517-2 에이스프라자
187,정상운영,축구,수원시,,경기도,경수유소년스포츠클럽,경기도 수원시 장안구 덕영대로535번길 38(천천동),경기도 수원시 장안구 천천동 524-3 경기서적
188,정상운영,축구,포항시,해도동,경상북도,제이앤제이 풋볼 아카데미,경상북도 포항시 남구 희망대로 921 (해도동),경상북도 포항시 남구 해도동 170-25
189,정상운영,축구,연수구,송도동,인천광역시,APT스포츠,"인천광역시 연수구 송도문화로28번길 81 (송도동, 송도더샵그린스퀘어)",인천광역시 연수구 송도동 192-1 송도더샵그린스퀘어
190,정상운영,축구,포항시,장성동,경상북도,리더유소년축구센터북구팀(본)점,경상북도 포항시 북구 장량로17번길 31-12 (장성동),경상북도 포항시 북구 장성동 1504-4
191,정상운영,축구,경산시,백천동,경상북도,BK축구센터,경상북도 경산시 경청로214길 2-5(백천동),경상북도 경산시 백천동 463-3 지니어스 어린이집
192,정상운영,축구,화성시,,경기도,지에프풋볼아카데미,경기도 화성시 봉담읍 새말안길 59-8,경기도 화성시 봉담읍 동화리 287-1
193,정상운영,축구,김포시,태리,경기도,윤영주 축구교실,경기도 김포시 고촌읍 태리로190번길 80-20,경기도 김포시 고촌읍 태리 134-9
194,정상운영,축구,세종시,종촌동,세종특별자치시,세종글로벌유소년풋볼클럽,"세종특별자치시 도움1로 106, 메가시티 314,315호 (종촌동)",세종특별자치시 종촌동 672 메가시티 
195,정상운영,축구,용인시,영덕동,경기도,퍼시픽스포츠그룹 청명점,경기도 용인시 기흥구 청명산로 125 (영덕동),경기도 용인시 기흥구 영덕동 130-12
196,정상운영,축구,부천시,상동,경기도,캐논FC,경기도 부천시 장말로 1(상동),경기도 부천시 상동 584-6 정우프라자
