addr_ctpv_nm,nation_yn,faci_daddr,row_num,base_ymd,faci_stat_nm,faci_mng_type_cd,reg_dt,inout_gbn_nm,faci_zip,faci_gfa,faci_road_daddr,faci_cd_hash,ftype_nm,cpb_nm,addr_emd_nm,addr_cpb_nm,faci_road_zip,faci_reg_ymd,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"경기도","N","크란츠 테크노",261,"20230131","정상운영","","2023-02-15","없음","13403",48,"크란츠 테크노 1층 128호 (상대원동)","","체력단련장","성남시","","성남시","13403","","2023-02-15","신고","경기도","드래곤짐","경기도 성남시 중원구 둔촌대로 388(상대원동)","Y","체력단련장업","경기도 성남시 중원구 상대원동 5442-1 크란츠 테크노"
"경기도","N","",262,"20230120","정상운영","","2023-02-15","없음","13176",104,"3층 (금광동)","","체력단련장","성남시","","성남시","13176","","2023-02-15","신고","경기도","O GYM PT STUDIO","경기도 성남시 중원구 광명로347번길 2(금광동)","Y","체력단련장업","경기도 성남시 중원구 금광동 3131"
"충청북도","N","",263,"20200814","정상운영","","2021-12-13","없음","28424",839,"","6G8veTpMjzoh+czh9xWf1idgAK1Ak7RM8dbE5sJY6cU=","체력단련장","청주시","복대동","청주시","28424","","2023-04-05","신고","충청북도","룰루짐 휘트니스","충청북도 청주시 흥덕구 대농로 43(복대동, 신영지웰시티)","Y","체력단련장업","충청북도 청주시 흥덕구 복대동 3379 신영지웰시티"
"경기도","N","4층 401호, 402호 (학암동)",264,"20230105","정상운영","","2023-01-31","없음","13010",191,"4층 401호, 402호 (학암동)","Mj4lobn+cwgl666QnEkFCluy/8M9cEtbHyGJqNMvk5k=","체력단련장","하남시","학암동","하남시","13010","","2023-01-31","신고","경기도","86피트니스","경기도 하남시 위례학암로 18(학암동)","Y","체력단련장업","경기도 하남시 학암동 647 북위례가하프라자"
"충청북도","N","7층",265,"20210319","정상운영","자체운영        ","2022-06-17","없음","28744",435,"7층","ERWhxAbNuscujAf5sGu5Fhmo68GSYXqsOdIqJq67QsE=","체력단련장","청주시","금천동","청주시 상당구","28744","","2023-04-28","신고","충청북도","에이치짐(H GYM)","충청북도 청주시 상당구 중고개로 336(금천동)","Y","체력단련장업","충청북도 청주시 상당구 금천동 277 엔젤타워"
"","N","",266,"20161206","폐업","자체운영        ","2016-12-06","실내","28420","","","+029EseCekOB724qa0VKEkGhc/5Q4df1VaCGnDyrY8U=","체력단련장","청주시","복대동","","28420","","2023-04-28","신고","충청북도","용성헬스","충청북도 청주시 흥덕구 진재로 50 (복대동)","Y","체력단련장업","충청북도 청주시 흥덕구 복대동  2929 용성빌딩"
"충청남도","N","",267,"20200130","정상운영","","2020-05-05","실내","31184",379,"4층층 401호,402호 (용곡동)","piVaw6s1grxpa4zkcFGERoDYCprVAAXJsoPwZWw+bTE=","체력단련장","천안시","용곡동","천안시","31184","","2023-02-09","신고","충청남도","더 핏포유","충청남도 천안시 동남구 용곡2길 43-14, 4층층 401호,402호 (용곡동)","Y","체력단련장업","충청남도 천안시 동남구 용곡동 546-27 "
"경기도","N","401~402호 (산척동)",268,"20230213","정상운영","","2023-02-16","실내","18502",354,"401~402호 (산척동)","","체력단련장","화성시","","화성시","18502","","2023-02-16","신고","경기도","화이트짐 산척점","경기도 화성시 동탄순환대로12길 4(산척동)","Y","체력단련장업","경기도 화성시 산척동 738-1"
"","N","1층",269,"20050325","정상운영","자체운영        ","2016-12-31","","04202","","","ut+ZiOhSin9FW2CnUtEDDBmKgDpA2Gx6hehnduNz3Fw=","체력단련장","마포구","아현동","","04202","","2023-02-16","신고","서울특별시","소의스포렉스","서울특별시 마포구 마포대로24길 42 (아현동)","Y","체력단련장업",""
"서울특별시","N","",270,"19891229","정상운영","자체운영        ","2016-12-31","없음","04163",563,"","um20zoexq0RQDx1rZcmqpL/3RtiwLUylxb9djo0pIVQ=","체력단련장","마포구","용강동","마포구","04163","","2023-02-16","신고","서울특별시","피트니스 온","서울특별시 마포구 토정로32길 4 (용강동)","Y","체력단련장업",""
