addr_ctpv_nm,nation_yn,faci_daddr,row_num,base_ymd,faci_stat_nm,reg_dt,inout_gbn_nm,faci_lat,faci_zip,faci_gfa,faci_road_daddr,ftype_nm,cpb_nm,addr_emd_nm,faci_road_zip,faci_lot,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"부산광역시","N","",65,"20210810","정상운영","2021-09-14","실내","35.3352002578922","46008",177,"","권투","기장군","모전리","46008","129.167091296528","2023-02-23","신고","부산광역시","투혼 팀스피릿","부산광역시 기장군 정관읍 모전1길 20-30","Y","체육도장업","부산광역시 기장군 정관읍 모전리 740-2"
"경기도","N","",66,"20191021","정상운영","2023-05-01","없음","37.2014054864887","18476",250,"","권투","화성시","청계동","18476","127.108535985503","2023-05-02","신고","경기도","카운터복싱","경기도 화성시 동탄대로시범길 193 (청계동)","Y","체육도장업","경기도 화성시 청계동 531-4"
"","N","5층 502호(수내동, 화동빌딩)",67,"20160726","정상운영","2018-04-13","실내","37.3787130221","13595",277,"5층 502호(수내동, 화동빌딩)","권투","성남시","수내동","13595","127.115138279","2023-02-20","신고","경기도","복서(BOXER) 분당센터","경기도 성남시 분당구 수내로46번길 33 (수내동)","Y","체육도장업","경기도 성남시 분당구 수내동 13-3"
"대전광역시","N","3층",68,"20211210","정상운영","2023-02-14","실내","36.3289866202354","34604",210,"3층","권투","동구","대동","34604","127.440952344367","2023-02-14","신고","대전광역시","더쎈복싱GYM","대전광역시 동구 대동천우안4길 2(대동)","Y","체육도장업","대전광역시 동구 대동 162-5"
"경기도","N","",69,"20230307","정상운영","2023-05-02","없음","37.009552379445","17842",244,"2층 (세교동)","권투","평택시","","17842","127.090780903838","2023-05-02","신고","경기도","평택복싱스타","경기도 평택시 세교8길 34 (세교동)","Y","체육도장업","경기도 평택시 세교동 586-1"
"경기도","N","",70,"20230316","정상운영","2023-03-20","없음","37.6196965776959","10110",201,"","권투","김포시","사우동","10110","126.71964754503","2023-03-20","신고","경기도","WS복싱클럽(사우점)","경기도 김포시 김포대로 847(사우동)","Y","체육도장업","경기도 김포시 사우동 929 중앙프라자"
"경기도","N","",71,"20220429","정상운영","2022-06-15","실내","0","10113",248,"7층 (풍무동)","권투","김포시","","10113","0","2023-02-20","신고","경기도","더블유에스 복싱클럽 풍무점(WS 복싱클럽 풍무점)","경기도 김포시 양도로19번길 33(풍무동)","Y","체육도장업","경기도 김포시 풍무동 208-1"
"서울특별시","N","",72,"20221027","정상운영","2022-11-21","없음","37.5167198397466","06084",235,"","권투","강남구","삼성동","06084","127.052163362617","2023-03-08","신고","서울특별시","주식회사 파이트월드넘버원","서울특별시 강남구 삼성로120길 7(삼성동)","Y","체육도장업","서울특별시 강남구 삼성동 65-11 삼경빌라"
"경기도","N","충무빌딩 5층",73,"20200915","정상운영","2020-10-13","실내","","11625",50,"충무빌딩 5층 501호 (의정부동)","권투","의정부시","가능동","11625","","2023-05-03","신고","경기도","상우복싱체육관","경기도 의정부시 범골로 102, 충무빌딩 5층 501호 (의정부동)","Y","체육도장업","경기도 의정부시 의정부동 544-12 충무빌딩 5층 501호"
"제주특별자치도","N","세븐일레븐",74,"20170412","","2018-03-22","실내","","63587",297,"2층 (동홍동)","권투","서귀포시","서귀동","63587","","2023-05-03","신고","제주특별자치도","코리안파이터짐","제주특별자치도 서귀포시 동홍중앙로 70, 2층 (동홍동)","Y","체육도장업","제주특별자치도 서귀포시 동홍동 412-3 세븐일레븐 "
"제주특별자치도","N","",75,"20200212","정상운영","2020-03-31","실내","33.2576827759833","63585",305,"","권투","서귀포시","동홍동","63585","126.560507089332","2023-02-08","신고","제주특별자치도","용인대NEW복싱","제주특별자치도 서귀포시 중앙로 146 (동홍동)","Y","체육도장업","제주특별자치도 서귀포시 동홍동 1460-14"
"인천광역시","N","",76,"20161222","폐업","2016-12-22","","37.5203927395","22777",146,"","권투","서구","가정동","22777","126.6733178189","2023-03-09","신고","인천광역시","무성특공무술, 크라브마가","인천광역시 서구 가정로 398 (가정동)","Y","체육도장업","인천광역시 서구 가정동  494-1 서해 프라자"
"대전광역시","N","",77,"20200501","정상운영","2023-03-17","실내","36.3073554879599","35394",283,"","권투","서구","정림동","35394","127.365462645687","2023-05-11","신고","대전광역시","복싱매니아짐","대전광역시 서구 정림로 78-14(정림동)","Y","체육도장업","대전광역시 서구 정림동 514"
"경기도","N","렉스몰",78,"20230109","정상운영","2023-04-11","없음","0","18401",194,"렉스몰 305호 (진안동)","권투","화성시","","18401","0","2023-04-12","신고","경기도","카운트복싱GYM","경기도 화성시 병점중앙로 155 (진안동)","Y","체육도장업","경기도 화성시 진안동 514-2 렉스몰"
"경기도","N","",79,"20161231","정상운영","2016-12-31","실내","37.2735240119","16531",236,"","권투","수원시","매탄동","16531","127.0436387487","2023-03-08","신고","경기도","매탄복싱","경기도 수원시 영통구 매여울로61번길 17 (매탄동)","Y","체육도장업","경기도 수원시 영통구 매탄동 153-78"
"경기도","N","",80,"20220302","정상운영","2022-07-15","없음","37.3905524026002","14072",324,"","권투","안양시","호계동","14072","126.954811253322","2023-03-08","신고","경기도","주식회사 핏해짐","경기도 안양시 동안구 평촌대로217번길 19(호계동)","Y","체육도장업","경기도 안양시 동안구 호계동 1048 백산프라자"
"경기도","N","305호",81,"20230309","정상운영","2023-03-10","실내","37.6237012384569","10495",166,"","권투","고양시","행신동","10495","126.83587495497","2023-03-10","신고","경기도","원포인트복싱짐","경기도 고양시 덕양구 중앙로 554(행신동)","Y","체육도장업","경기도 고양시 덕양구 행신동 950 희성프라자"
"경기도","N","207.208.209호",82,"20230207","정상운영","2023-02-09","실내","37.2980028917008","16944",288,"207.208.209호","권투","용인시","상현동","16944","127.068391135993","2023-02-09","신고","경기도","고트복싱(G.O.A.T Boxing)","경기도 용인시 수지구 광교중앙로295번길 21(상현동)","Y","체육도장업","경기도 용인시 수지구 상현동 1116-1"
"경기도","N","3층",83,"20221025","정상운영","2023-02-09","없음","37.0104041064095","17578",396,"3층","권투","안성시","석정동","17578","127.259033221064","2023-02-09","신고","경기도","링 종합격투기","경기도 안성시 중앙로 274-32(석정동)","Y","체육도장업","경기도 안성시 석정동 233-5"
"경상북도","N","",84,"20221104","정상운영","2023-02-21","실내","35.8695650740753","38080",204,"2층 (황성동)","권투","경주시","","38080","129.21523145264","2023-02-21","신고","경상북도","Beat Boxer 복싱클럽","경상북도 경주시 황성로69번길 27-2(황성동)","Y","체육도장업","경상북도 경주시 황성동 556-2"
